"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-05-08T07:00:00.000Z","412.97","414.54","408.87","411.59","-0.2520","-0.5275","336,048,421"
"2023-05-15T07:00:00.000Z","412.22","420.72","410.23","418.62","1.71","1.43","400,252,347"
"2023-05-22T07:00:00.000Z","418.64","420.77","409.88","420.02","0.3344","0.0590","421,134,151"
"2023-05-29T07:00:00.000Z","422.03","428.74","416.22","427.92","1.88","1.61","363,318,929"
"2023-06-05T07:00:00.000Z","428.28","431.99","425.82","429.90","0.4627","0.1872","367,311,603"
"2023-06-12T07:00:00.000Z","430.92","443.90","430.17","439.46","2.22","1.95","497,237,427"
"2023-06-19T07:00:00.000Z","437.45","438.37","432.47","433.21","-1.42","-1.70","315,854,322"
"2023-06-26T07:00:00.000Z","432.62","444.30","431.19","443.28","2.32","2.05","394,119,558"
"2023-07-03T07:00:00.000Z","442.92","444.08","437.06","438.55","-1.07","-1.34","258,004,290"
"2023-07-10T07:00:00.000Z","438.18","451.36","437.58","449.28","2.45","2.17","361,072,844"
"2023-07-17T07:00:00.000Z","449.13","456.43","449.08","452.18","0.6455","0.3700","341,183,617"
"2023-07-24T07:00:00.000Z","453.37","459.44","451.55","456.92","1.05","0.7728","352,473,672"
"2023-07-31T07:00:00.000Z","457.41","458.16","446.27","446.81","-2.21","-2.49","376,024,611"
"2023-08-07T07:00:00.000Z","448.71","451.70","443.35","445.65","-0.2596","-0.5351","370,204,760"
"2023-08-14T07:00:00.000Z","444.70","448.11","433.01","436.50","-2.05","-2.33","398,245,456"
"2023-08-21T07:00:00.000Z","437.55","445.22","435.00","439.97","0.7950","0.5195","393,065,214"
"2023-08-28T07:00:00.000Z","442.24","453.67","439.97","451.19","2.55","2.27","338,759,881"
"2023-09-04T07:00:00.000Z","450.73","451.06","442.75","445.52","-1.26","-1.53","258,348,585"
"2023-09-11T07:00:00.000Z","448.24","451.08","442.92","443.37","-0.4826","-0.7580","383,224,485"
"2023-09-18T07:00:00.000Z","443.05","444.97","429.99","430.42","-2.92","-3.20","409,754,973"
"2023-09-25T07:00:00.000Z","429.17","432.27","422.29","427.48","-0.6831","-0.9585","479,118,444"
"2023-10-02T07:00:00.000Z","426.62","431.13","420.18","429.54","0.4819","0.2064","458,428,227"
"2023-10-09T07:00:00.000Z","427.58","437.33","427.01","431.50","0.4563","0.1808","397,788,728"
"2023-10-16T07:00:00.000Z","433.82","438.14","421.08","421.19","-2.39","-2.66","489,560,531"
"2023-10-23T07:00:00.000Z","419.61","424.82","409.21","410.68","-2.50","-2.77","487,346,964"
"2023-10-30T07:00:00.000Z","413.56","436.29","412.22","434.69","5.85","5.57","459,402,624"
"2023-11-06T08:00:00.000Z","435.47","440.93","433.40","440.61","1.36","1.09","366,566,272"
"2023-11-13T08:00:00.000Z","439.23","451.42","438.42","450.79","2.31","2.03","376,600,275"
"2023-11-20T08:00:00.000Z","450.53","456.38","450.52","455.30","1.00","0.7250","208,484,220"
"2023-11-27T08:00:00.000Z","454.65","459.65","453.34","459.10","0.8346","0.5592","344,703,088"
"2023-12-04T08:00:00.000Z","455.60","460.75","454.31","460.20","0.2396","-0.0359","361,538,892"
"2023-12-11T08:00:00.000Z","459.69","473.73","459.47","469.33","1.98","1.71","487,187,546"
"2023-12-18T08:00:00.000Z","470.98","475.89","467.82","473.65","0.9205","0.6450","382,885,933"
"2023-12-25T08:00:00.000Z","474.07","477.55","473.30","475.31","0.3505","0.0750","322,828,528"
"2024-01-02T08:00:00.000Z","472.16","473.67","466.43","467.92","-1.55","-1.83","396,944,741"
"2024-01-08T08:00:00.000Z","468.43","478.60","468.30","476.68","1.87","1.60","344,088,296"
"2024-01-16T08:00:00.000Z","475.26","482.72","469.87","482.43","1.21","0.9308","356,549,472"
"2024-01-22T08:00:00.000Z","484.01","489.12","482.78","487.41","1.03","0.7568","356,721,865"
"2024-01-29T08:00:00.000Z","487.73","496.05","482.86","494.35","1.42","1.15","437,072,028"
"2024-02-05T08:00:00.000Z","493.69","501.65","490.23","501.20","1.39","1.11","318,555,221"
"2024-02-12T08:00:00.000Z","501.17","503.50","490.71","499.51","-0.3372","-0.6126","375,205,197"
"2024-02-20T08:00:00.000Z","497.72","510.13","493.56","507.85","1.67","1.39","269,064,864"
"2024-02-26T08:00:00.000Z","508.30","513.29","504.75","512.85","0.9845","0.7091","316,517,539"
"2024-03-04T08:00:00.000Z","512.03","518.22","504.91","511.72","-0.2203","-0.4958","336,221,867"
"2024-03-11T07:00:00.000Z","510.48","517.38","508.12","509.83","-0.3693","-0.6448","408,593,827"
"2024-03-18T07:00:00.000Z","514.00","524.11","511.12","521.21","2.23","1.96","358,570,122"
"2024-03-25T07:00:00.000Z","519.80","524.61","518.40","523.07","0.3569","0.0814","293,270,515"
"2024-04-01T07:00:00.000Z","523.83","524.38","512.75","518.43","-0.8871","-1.16","367,268,164"
"2024-04-08T07:00:00.000Z","519.15","520.75","509.08","510.85","-1.46","-1.74","361,839,044"
"2024-04-15T07:00:00.000Z","515.13","515.30","493.86","495.16","-3.07","-3.35","418,256,444"
"2024-04-22T07:00:00.000Z","497.83","509.88","495.43","508.26","2.65","2.37","321,951,230"
"2024-04-29T07:00:00.000Z","510.09","512.55","499.55","511.29","0.5962","0.3207","339,448,742"
"2024-05-06T07:00:00.000Z","513.75","522.63","513.30","520.84","1.87","1.59","237,750,055"
"2024-05-13T07:00:00.000Z","522.56","531.52","519.74","529.45","1.65","1.38","263,189,537"
"2024-05-20T07:00:00.000Z","529.57","533.07","524.72","529.44","-0.0019","-0.2773","218,093,448"
"2024-05-28T07:00:00.000Z","530.27","530.51","518.36","527.37","-0.3910","-0.6664","218,714,190"
"2024-06-03T07:00:00.000Z","529.02","536.89","522.60","534.01","1.26","0.9836","203,111,783"
"2024-06-10T07:00:00.000Z","533.18","544.12","532.05","542.78","1.64","1.37","220,214,812"
"2024-06-17T07:00:00.000Z","542.08","550.12","541.61","544.51","0.3187","0.0433","232,127,866"
"2024-06-24T07:00:00.000Z","544.33","550.28","542.44","544.22","-0.0533","-0.3287","233,538,652"
"2024-07-01T07:00:00.000Z","545.63","555.05","542.52","554.64","1.91","1.64","155,010,902"
"2024-07-08T07:00:00.000Z","555.44","563.67","554.19","559.99","0.9646","0.6891","208,264,385"
"2024-07-15T07:00:00.000Z","562.03","565.16","547.91","548.99","-1.96","-2.24","255,957,982"
"2024-07-22T07:00:00.000Z","553.00","556.74","537.45","544.44","-0.8288","-1.10","267,223,623"
"2024-07-29T07:00:00.000Z","546.02","554.87","528.60","532.90","-2.12","-2.40","311,250,646"
"2024-08-05T07:00:00.000Z","511.64","534.51","510.27","532.99","0.0169","-0.2586","410,688,190"
"2024-08-12T07:00:00.000Z","534.21","555.02","530.95","554.31","4.00","3.72","242,599,611"
"2024-08-19T07:00:00.000Z","554.73","563.18","553.86","562.13","1.41","1.14","221,129,506"
"2024-08-26T07:00:00.000Z","563.18","564.20","555.04","563.68","0.2757","0.0003","210,963,817"
"2024-09-03T07:00:00.000Z","560.47","560.81","539.44","540.36","-4.14","-4.41","220,583,115"
"2024-09-09T07:00:00.000Z","544.65","563.03","539.96","562.01","4.01","3.73","243,292,245"
"2024-09-16T07:00:00.000Z","561.74","572.88","559.90","568.25","1.11","0.8348","297,840,609"
"2024-09-23T07:00:00.000Z","569.34","574.71","567.60","571.47","0.5667","0.2912","219,788,113"
"2024-09-30T07:00:00.000Z","570.42","574.38","565.27","572.98","0.2642","-0.0112","258,273,676"
"2024-10-07T07:00:00.000Z","571.30","580.33","566.63","579.58","1.15","0.8764","211,681,681"
"2024-10-14T07:00:00.000Z","581.22","586.12","578.54","584.59","0.8644","0.5890","192,956,802"
"2024-10-21T07:00:00.000Z","583.85","584.85","574.41","579.04","-0.9494","-1.22","202,185,455"
"2024-10-28T07:00:00.000Z","582.58","583.32","568.44","571.04","-1.38","-1.66","220,360,188"
"2024-11-04T08:00:00.000Z","571.18","599.64","567.89","598.19","4.75","4.48","239,555,370"
"2024-11-11T08:00:00.000Z","599.81","600.17","583.86","585.75","-2.08","-2.36","242,874,416"
"2024-11-18T08:00:00.000Z","586.22","596.15","584.03","595.51","1.67","1.39","221,505,378"
"2024-11-25T08:00:00.000Z","599.52","603.35","595.20","602.55","1.18","0.9067","152,240,195"
